Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX
Date,,,,,,
2022-11-02 00:00:00+00:00,7968.60009765625,7968.60009765625,8018.2001953125,7960.60009765625,8017.7998046875,144925900
2022-11-03 00:00:00+00:00,7868.89990234375,7868.89990234375,7897.5,7798.39990234375,7897.5,140561300
2022-11-04 00:00:00+00:00,7942.7001953125,7942.7001953125,8006.0,7830.60009765625,7908.5,197127100
2022-11-07 00:00:00+00:00,7962.2998046875,7962.2998046875,7990.0,7893.2001953125,7910.5,138355500
2022-11-08 00:00:00+00:00,7998.89990234375,7998.89990234375,8005.7998046875,7922.0,7942.2998046875,120200600
2022-11-09 00:00:00+00:00,8040.39990234375,8040.39990234375,8061.60009765625,7968.10009765625,7983.39990234375,161112100
2022-11-10 00:00:00+00:00,8133.2001953125,8133.2001953125,8176.0,7975.10009765625,8004.0,256116900
2022-11-11 00:00:00+00:00,8133.2001953125,8133.2001953125,8178.7001953125,8073.7998046875,8178.7001953125,217995500
2022-11-14 00:00:00+00:00,8166.5,8166.5,8210.7998046875,8110.39990234375,8123.2001953125,142671600
2022-11-15 00:00:00+00:00,8188.39990234375,8188.39990234375,8192.099609375,8117.2998046875,8161.0,182285400
2022-11-16 00:00:00+00:00,8101.39990234375,8101.39990234375,8188.7001953125,8075.0,8175.10009765625,163754600
2022-11-17 00:00:00+00:00,8040.7001953125,8040.7001953125,8123.2001953125,7986.10009765625,8105.10009765625,139502400
2022-11-18 00:00:00+00:00,8127.7998046875,8127.7998046875,8127.7998046875,8048.5,8107.0,178686400
2022-11-21 00:00:00+00:00,8188.39990234375,8188.39990234375,8198.5,8100.5,8100.5,155115500
2022-11-22 00:00:00+00:00,8325.0,8325.0,8345.599609375,8200.2998046875,8203.5,215622700
2022-11-23 00:00:00+00:00,8331.2001953125,8331.2001953125,8344.0,8288.400390625,8337.7998046875,154543800
2022-11-24 00:00:00+00:00,8388.099609375,8388.099609375,8412.5,8339.2001953125,8341.2998046875,137787400
2022-11-25 00:00:00+00:00,8416.599609375,8416.599609375,8425.5,8378.2001953125,8391.2001953125,135912400
2022-11-28 00:00:00+00:00,8323.2001953125,8323.2001953125,8396.400390625,8316.7001953125,8375.599609375,125888100
2022-11-29 00:00:00+00:00,8322.099609375,8322.099609375,8354.5,8282.7998046875,8347.2998046875,145888800
2022-11-30 00:00:00+00:00,8363.2001953125,8363.2001953125,8364.599609375,8304.400390625,8350.599609375,325057800
2022-12-01 00:00:00+00:00,8407.900390625,8407.900390625,8469.0,8381.7998046875,8423.099609375,209724800
2022-12-02 00:00:00+00:00,8382.599609375,8382.599609375,8414.099609375,8342.2998046875,8390.0,146276600
2022-12-05 00:00:00+00:00,8370.099609375,8370.099609375,8395.7001953125,8358.7998046875,8373.2998046875,103858400
2022-12-06 00:00:00+00:00,8331.900390625,8331.900390625,8355.900390625,8296.400390625,8333.2001953125,123949400
2022-12-07 00:00:00+00:00,8290.5,8290.5,8344.0,8279.7998046875,8306.7998046875,129308700
2022-12-08 00:00:00+00:00,8225.2001953125,8225.2001953125,8308.599609375,8225.2001953125,8307.900390625,118774300
2022-12-09 00:00:00+00:00,8289.2001953125,8289.2001953125,8293.7001953125,8194.900390625,8256.599609375,131660300
2022-12-12 00:00:00+00:00,8258.900390625,8258.900390625,8270.2001953125,8222.5,8260.599609375,116655000
2022-12-13 00:00:00+00:00,8327.7001953125,8327.7001953125,8415.7001953125,8213.2001953125,8263.900390625,206579600
2022-12-14 00:00:00+00:00,8360.599609375,8360.599609375,8360.599609375,8297.900390625,8323.099609375,160329800
2022-12-15 00:00:00+00:00,8218.7998046875,8218.7998046875,8332.400390625,8195.900390625,8315.2001953125,216854000
2022-12-16 00:00:00+00:00,8112.5,8112.5,8192.099609375,8079.7998046875,8189.2001953125,387741300
2022-12-19 00:00:00+00:00,8136.7998046875,8136.7998046875,8180.2998046875,8109.39990234375,8122.2998046875,129226200
2022-12-20 00:00:00+00:00,8185.2001953125,8185.2001953125,8216.900390625,8059.5,8086.7001953125,181953600
2022-12-21 00:00:00+00:00,8302.2998046875,8302.2998046875,8312.2001953125,8201.7001953125,8220.2001953125,146342300
2022-12-22 00:00:00+00:00,8272.099609375,8272.099609375,8338.599609375,8257.599609375,8308.400390625,122263100
2022-12-23 00:00:00+00:00,8269.099609375,8269.099609375,8313.7001953125,8236.099609375,8281.599609375,103234700
2022-12-27 00:00:00+00:00,8270.099609375,8270.099609375,8332.5,8266.7998046875,8307.900390625,91612000
2022-12-28 00:00:00+00:00,8258.5,8258.5,8319.400390625,8252.2998046875,8275.7001953125,97669900
2022-12-29 00:00:00+00:00,8318.2998046875,8318.2998046875,8321.900390625,8208.7001953125,8238.099609375,117198300
2022-12-30 00:00:00+00:00,8229.099609375,8229.099609375,8290.400390625,8221.7001953125,8288.900390625,121407700
2023-01-02 00:00:00+00:00,8369.7001953125,8369.7001953125,8384.900390625,8283.7001953125,8297.900390625,92193500
2023-01-03 00:00:00+00:00,8397.400390625,8397.400390625,8454.2998046875,8327.400390625,8367.5,164671600
2023-01-04 00:00:00+00:00,8559.7998046875,8559.7998046875,8560.5,8442.099609375,8442.099609375,206752400
2023-01-05 00:00:00+00:00,8607.599609375,8607.599609375,8618.900390625,8527.7001953125,8530.099609375,182438200
2023-01-06 00:00:00+00:00,8701.099609375,8701.099609375,8701.099609375,8589.2001953125,8608.5,162161400
2023-01-09 00:00:00+00:00,8694.900390625,8694.900390625,8721.599609375,8661.400390625,8691.0,215668200
2023-01-10 00:00:00+00:00,8712.7001953125,8712.7001953125,8724.5,8666.7001953125,8668.400390625,147719000
2023-01-11 00:00:00+00:00,8726.2998046875,8726.2998046875,8762.900390625,8700.7001953125,8722.7998046875,166063200
2023-01-12 00:00:00+00:00,8828.099609375,8828.099609375,8849.7001953125,8735.2001953125,8737.7998046875,203505800
2023-01-13 00:00:00+00:00,8881.7001953125,8881.7001953125,8918.400390625,8828.7001953125,8838.0,197132600
2023-01-16 00:00:00+00:00,8871.099609375,8871.099609375,8918.2001953125,8847.099609375,8896.7998046875,125051900
2023-01-17 00:00:00+00:00,8890.400390625,8890.400390625,8916.7998046875,8833.400390625,8862.400390625,145661400
2023-01-18 00:00:00+00:00,8933.2998046875,8933.2998046875,8988.900390625,8909.5,8909.5,202920700
2023-01-19 00:00:00+00:00,8793.099609375,8793.099609375,8894.400390625,8726.7001953125,8892.900390625,236199000
2023-01-20 00:00:00+00:00,8918.2001953125,8918.2001953125,8918.2001953125,8828.900390625,8828.900390625,188973800
2023-01-23 00:00:00+00:00,8944.099609375,8944.099609375,8976.5,8909.900390625,8927.099609375,134688300
2023-01-24 00:00:00+00:00,8967.099609375,8967.099609375,8978.099609375,8906.0,8955.7998046875,123864400
2023-01-25 00:00:00+00:00,8957.5,8957.5,8968.2998046875,8905.0,8961.400390625,166333600
2023-01-26 00:00:00+00:00,9035.599609375,9035.599609375,9054.5,8995.2998046875,9002.599609375,304449100
2023-01-27 00:00:00+00:00,9060.2001953125,9060.2001953125,9082.7998046875,9022.2998046875,9045.900390625,201024600
2023-01-30 00:00:00+00:00,9049.2998046875,9049.2998046875,9066.099609375,9011.400390625,9050.2001953125,152780500
2023-01-31 00:00:00+00:00,9034.0,9034.0,9069.900390625,8994.0,9053.7001953125,239317900
2023-02-01 00:00:00+00:00,9098.099609375,9098.099609375,9126.599609375,9046.2001953125,9048.0,236081200
2023-02-02 00:00:00+00:00,9229.7001953125,9229.7001953125,9281.400390625,9133.099609375,9144.099609375,364813600
2023-02-03 00:00:00+00:00,9225.599609375,9225.599609375,9248.5,9155.599609375,9214.2001953125,297607800
2023-02-06 00:00:00+00:00,9159.2001953125,9159.2001953125,9198.599609375,9124.7998046875,9174.7998046875,148027100
2023-02-07 00:00:00+00:00,9172.400390625,9172.400390625,9204.2998046875,9149.7998046875,9165.7998046875,145446500
2023-02-08 00:00:00+00:00,9227.2998046875,9227.2998046875,9277.7001953125,9200.0,9223.599609375,181821800
2023-02-09 00:00:00+00:00,9243.5,9243.5,9296.2998046875,9243.5,9268.599609375,142052300
2023-02-10 00:00:00+00:00,9117.400390625,9117.400390625,9214.5,9069.599609375,9208.400390625,179657200
2023-02-13 00:00:00+00:00,9210.2998046875,9210.2998046875,9217.2001953125,9120.7001953125,9134.7998046875,108839700
2023-02-14 00:00:00+00:00,9263.2001953125,9263.2001953125,9311.599609375,9231.5,9238.0,153032700
2023-02-15 00:00:00+00:00,9294.7998046875,9294.7998046875,9313.5,9258.7001953125,9273.5,124531200
2023-02-16 00:00:00+00:00,9327.2998046875,9327.2998046875,9362.7998046875,9291.400390625,9338.900390625,170117900
2023-02-17 00:00:00+00:00,9333.0,9333.0,9363.099609375,9240.7998046875,9276.2998046875,168390800
2023-02-20 00:00:00+00:00,9281.2998046875,9281.2998046875,9369.099609375,9273.900390625,9352.400390625,101224000
2023-02-21 00:00:00+00:00,9252.099609375,9252.099609375,9286.099609375,9195.900390625,9257.400390625,116050500
2023-02-22 00:00:00+00:00,9172.7001953125,9172.7001953125,9222.599609375,9118.5,9220.2998046875,154725800
2023-02-23 00:00:00+00:00,9231.599609375,9231.599609375,9253.900390625,9179.5,9183.599609375,144006300
2023-02-24 00:00:00+00:00,9201.5,9201.5,9314.5,9194.400390625,9255.5,254028900
2023-02-27 00:00:00+00:00,9314.2998046875,9314.2998046875,9351.7001953125,9250.5,9252.5,150061600
2023-02-28 00:00:00+00:00,9394.599609375,9394.599609375,9442.7998046875,9279.599609375,9303.400390625,306110200
2023-03-01 00:00:00+00:00,9322.900390625,9322.900390625,9453.7998046875,9307.400390625,9419.2998046875,187235400
2023-03-02 00:00:00+00:00,9327.2998046875,9327.2998046875,9336.2001953125,9246.099609375,9292.7998046875,157352100
2023-03-03 00:00:00+00:00,9464.2001953125,9464.2001953125,9472.2001953125,9357.0,9357.0,161254800
2023-03-06 00:00:00+00:00,9511.0,9511.0,9524.599609375,9441.7998046875,9497.900390625,145464800
2023-03-07 00:00:00+00:00,9411.099609375,9411.099609375,9528.2998046875,9408.5,9502.099609375,159198700
2023-03-08 00:00:00+00:00,9466.099609375,9466.099609375,9480.900390625,9369.400390625,9386.400390625,123507900
2023-03-09 00:00:00+00:00,9423.2001953125,9423.2001953125,9457.400390625,9388.900390625,9455.2998046875,116716400
2023-03-10 00:00:00+00:00,9285.0,9285.0,9296.5,9182.7001953125,9246.7998046875,279917900
2023-03-13 00:00:00+00:00,8958.900390625,8958.900390625,9273.599609375,8894.5,9273.599609375,426525400
2023-03-14 00:00:00+00:00,9159.0,9159.0,9181.0,8914.599609375,8936.0,300029600
2023-03-15 00:00:00+00:00,8759.099609375,8759.099609375,9169.7001953125,8736.5,9165.2998046875,422530000
2023-03-16 00:00:00+00:00,8890.2001953125,8890.2001953125,8984.599609375,8731.0,8925.7998046875,324579000
2023-03-17 00:00:00+00:00,8719.2998046875,8719.2998046875,9027.400390625,8655.2998046875,8935.5,477657900
2023-03-20 00:00:00+00:00,8833.099609375,8833.099609375,8875.2998046875,8501.2001953125,8672.2998046875,359818300
2023-03-21 00:00:00+00:00,9049.400390625,9049.400390625,9085.400390625,8918.7998046875,8930.099609375,248775500
2023-03-22 00:00:00+00:00,9009.2998046875,9009.2998046875,9100.2001953125,9001.7001953125,9037.2998046875,197220400
2023-03-23 00:00:00+00:00,8970.0,8970.0,9027.7001953125,8921.599609375,8969.400390625,155229200
2023-03-24 00:00:00+00:00,8792.5,8792.5,8933.0,8703.2998046875,8933.0,289524100
2023-03-27 00:00:00+00:00,8906.099609375,8906.099609375,8935.7001953125,8839.7998046875,8897.7998046875,187284700
2023-03-28 00:00:00+00:00,8944.2998046875,8944.2998046875,9019.099609375,8911.0,8984.2001953125,153710700
2023-03-29 00:00:00+00:00,9070.7001953125,9070.7001953125,9075.2998046875,8962.400390625,8991.400390625,131051100
2023-03-30 00:00:00+00:00,9207.099609375,9207.099609375,9226.400390625,9131.2001953125,9138.2998046875,149632100
2023-03-31 00:00:00+00:00,9232.5,9232.5,9254.5,9183.7998046875,9234.5,178940500
2023-04-03 00:00:00+00:00,9157.400390625,9157.400390625,9233.5,9135.5,9217.7998046875,129264000
2023-04-04 00:00:00+00:00,9183.2001953125,9183.2001953125,9257.5,9168.5,9174.7998046875,120081300
2023-04-05 00:00:00+00:00,9254.599609375,9254.599609375,9254.599609375,9196.5,9202.099609375,140130100
2023-04-06 00:00:00+00:00,9312.2998046875,9312.2998046875,9323.5,9232.599609375,9252.7998046875,128321400
2023-04-11 00:00:00+00:00,9237.7001953125,9237.7001953125,9378.400390625,9227.099609375,9355.099609375,154539500
2023-04-12 00:00:00+00:00,9278.7001953125,9278.7001953125,9324.599609375,9253.599609375,9255.599609375,130923300
2023-04-13 00:00:00+00:00,9310.0,9310.0,9320.2001953125,9238.7001953125,9284.400390625,109714700
2023-04-14 00:00:00+00:00,9362.900390625,9362.900390625,9375.400390625,9313.2001953125,9335.900390625,152448900
2023-04-17 00:00:00+00:00,9378.5,9378.5,9413.400390625,9361.0,9387.599609375,154770500
2023-04-18 00:00:00+00:00,9421.900390625,9421.900390625,9445.400390625,9381.5,9408.0,143015100
2023-04-19 00:00:00+00:00,9494.7998046875,9494.7998046875,9498.7001953125,9405.400390625,9418.599609375,117659000
2023-04-20 00:00:00+00:00,9450.900390625,9450.900390625,9540.5,9425.0,9508.599609375,153368400
2023-04-21 00:00:00+00:00,9415.599609375,9415.599609375,9436.599609375,9366.2998046875,9433.900390625,205592800
2023-04-24 00:00:00+00:00,9406.400390625,9406.400390625,9433.900390625,9362.900390625,9383.599609375,99647400
2023-04-25 00:00:00+00:00,9290.2998046875,9290.2998046875,9352.099609375,9267.599609375,9352.099609375,167260800
2023-04-26 00:00:00+00:00,9293.7001953125,9293.7001953125,9297.7001953125,9193.5,9264.900390625,165805000
2023-04-27 00:00:00+00:00,9314.599609375,9314.599609375,9334.2001953125,9226.400390625,9254.099609375,128409300
2023-04-28 00:00:00+00:00,9241.0,9241.0,9338.900390625,9159.7998046875,9336.099609375,233876400
2023-05-02 00:00:00+00:00,9082.0,9082.0,9264.900390625,9069.099609375,9257.5,172428700
2023-05-03 00:00:00+00:00,9076.7001953125,9076.7001953125,9132.2001953125,9035.099609375,9117.7998046875,136589900
2023-05-04 00:00:00+00:00,9043.599609375,9043.599609375,9056.599609375,8967.2998046875,9053.7001953125,150274800
2023-05-05 00:00:00+00:00,9147.2998046875,9147.2998046875,9147.2998046875,9047.7001953125,9097.2998046875,144355000
2023-05-08 00:00:00+00:00,9211.2998046875,9211.2998046875,9221.7998046875,9157.900390625,9162.2998046875,81672300
2023-05-09 00:00:00+00:00,9183.2001953125,9183.2001953125,9219.5,9130.2001953125,9202.099609375,113458000
2023-05-10 00:00:00+00:00,9167.7001953125,9167.7001953125,9223.2998046875,9143.7998046875,9219.7998046875,103618500
2023-05-11 00:00:00+00:00,9182.7998046875,9182.7998046875,9215.099609375,9118.0,9166.099609375,139070300
2023-05-12 00:00:00+00:00,9234.099609375,9234.099609375,9276.900390625,9213.900390625,9218.599609375,106389900
2023-05-15 00:00:00+00:00,9201.5,9201.5,9279.5,9162.2998046875,9269.099609375,92014700
2023-05-16 00:00:00+00:00,9191.400390625,9191.400390625,9241.900390625,9174.900390625,9181.2001953125,91133400
2023-05-17 00:00:00+00:00,9211.599609375,9211.599609375,9218.599609375,9125.7001953125,9148.2001953125,110933000
2023-05-18 00:00:00+00:00,9213.099609375,9213.099609375,9282.2001953125,9202.0,9247.2998046875,105199800
2023-05-19 00:00:00+00:00,9251.5,9251.5,9309.400390625,9222.900390625,9247.2001953125,127277500
2023-05-22 00:00:00+00:00,9305.0,9305.0,9326.599609375,9241.900390625,9242.7998046875,96207700
2023-05-23 00:00:00+00:00,9267.0,9267.0,9305.0,9260.099609375,9304.5,82288900
2023-05-24 00:00:00+00:00,9163.5,9163.5,9193.2001953125,9128.7998046875,9191.2998046875,108838000
2023-05-25 00:00:00+00:00,9116.099609375,9116.099609375,9188.099609375,9116.099609375,9169.5,123786500
2023-05-26 00:00:00+00:00,9191.099609375,9191.099609375,9210.900390625,9048.2001953125,9137.7998046875,99198600
2023-05-29 00:00:00+00:00,9180.099609375,9180.099609375,9271.099609375,9146.599609375,9263.099609375,59244300
2023-05-30 00:00:00+00:00,9167.5,9167.5,9248.2998046875,9156.0,9189.0,111494900
2023-05-31 00:00:00+00:00,9050.2001953125,9050.2001953125,9183.400390625,9034.900390625,9096.5,401513500
2023-06-01 00:00:00+00:00,9167.5,9167.5,9181.599609375,9105.900390625,9130.2998046875,109883600
2023-06-02 00:00:00+00:00,9317.2998046875,9317.2998046875,9324.7998046875,9204.2001953125,9216.2001953125,132595800
2023-06-05 00:00:00+00:00,9289.099609375,9289.099609375,9382.400390625,9276.099609375,9352.0,102104900
2023-06-06 00:00:00+00:00,9310.7998046875,9310.7998046875,9310.7998046875,9242.2998046875,9266.0,94770400
2023-06-07 00:00:00+00:00,9359.7998046875,9359.7998046875,9401.7998046875,9294.900390625,9296.2998046875,100905200
2023-06-08 00:00:00+00:00,9338.2998046875,9338.2998046875,9427.599609375,9331.7001953125,9358.7001953125,109449100
2023-06-09 00:00:00+00:00,9309.7001953125,9309.7001953125,9370.400390625,9288.599609375,9345.7001953125,84882800
2023-06-12 00:00:00+00:00,9344.400390625,9344.400390625,9382.099609375,9328.5,9345.900390625,95656000
2023-06-13 00:00:00+00:00,9333.7001953125,9333.7001953125,9357.7001953125,9261.099609375,9357.7001953125,121829000
2023-06-14 00:00:00+00:00,9432.7998046875,9432.7998046875,9468.099609375,9315.900390625,9333.7001953125,155571800
2023-06-15 00:00:00+00:00,9430.7998046875,9430.7998046875,9453.7001953125,9389.2998046875,9404.099609375,123381800
2023-06-16 00:00:00+00:00,9495.0,9495.0,9580.7998046875,9428.5,9465.0,384178600
2023-06-19 00:00:00+00:00,9431.900390625,9431.900390625,9503.2001953125,9412.099609375,9457.7998046875,87888300
2023-06-20 00:00:00+00:00,9439.7998046875,9439.7998046875,9469.099609375,9401.0,9418.2998046875,87716600
2023-06-21 00:00:00+00:00,9436.400390625,9436.400390625,9463.5,9415.2998046875,9431.2001953125,101629200
2023-06-22 00:00:00+00:00,9364.7001953125,9364.7001953125,9365.900390625,9284.2001953125,9365.5,108508000
2023-06-23 00:00:00+00:00,9265.7998046875,9265.7998046875,9334.099609375,9239.7001953125,9305.599609375,124528300
2023-06-26 00:00:00+00:00,9274.0,9274.0,9306.900390625,9198.7001953125,9283.099609375,110992200
2023-06-27 00:00:00+00:00,9393.0,9393.0,9399.5,9287.2998046875,9309.2001953125,120553900
2023-06-28 00:00:00+00:00,9481.2998046875,9481.2998046875,9489.7001953125,9414.0,9421.0,126194000
2023-06-29 00:00:00+00:00,9510.599609375,9510.599609375,9524.099609375,9479.0,9486.2001953125,103479900
2023-06-30 00:00:00+00:00,9593.0,9593.0,9642.2998046875,9534.599609375,9541.400390625,172932500
2023-07-03 00:00:00+00:00,9644.7998046875,9644.7998046875,9658.599609375,9598.599609375,9604.2998046875,119153100
2023-07-04 00:00:00+00:00,9588.400390625,9588.400390625,9649.7998046875,9580.900390625,9635.0,97859400
2023-07-05 00:00:00+00:00,9486.2998046875,9486.2998046875,9567.900390625,9470.7001953125,9541.7001953125,116017000
2023-07-06 00:00:00+00:00,9285.0,9285.0,9435.900390625,9261.2001953125,9384.599609375,142178200
2023-07-07 00:00:00+00:00,9248.7998046875,9248.7998046875,9258.599609375,9169.7998046875,9246.900390625,114921000
2023-07-10 00:00:00+00:00,9252.900390625,9252.900390625,9282.5,9183.0,9210.5,91453400
2023-07-11 00:00:00+00:00,9331.099609375,9331.099609375,9333.7001953125,9226.7001953125,9295.7998046875,100280000
2023-07-12 00:00:00+00:00,9453.7001953125,9453.7001953125,9464.7998046875,9344.599609375,9356.5,155443100
2023-07-13 00:00:00+00:00,9478.7001953125,9478.7001953125,9523.599609375,9444.7998046875,9459.099609375,118162000
2023-07-14 00:00:00+00:00,9438.2998046875,9438.2998046875,9507.2001953125,9437.7998046875,9468.900390625,105127200
2023-07-17 00:00:00+00:00,9438.0,9438.0,9483.2998046875,9402.599609375,9414.900390625,77438400
2023-07-18 00:00:00+00:00,9455.7001953125,9455.7001953125,9471.7998046875,9388.900390625,9446.5,88491000
2023-07-19 00:00:00+00:00,9451.7998046875,9451.7998046875,9532.400390625,9433.099609375,9482.7998046875,92225100
2023-07-20 00:00:00+00:00,9519.599609375,9519.599609375,9539.5,9444.0,9445.099609375,108475200
2023-07-21 00:00:00+00:00,9571.5,9571.5,9571.5,9481.2001953125,9521.0,114901000
2023-07-24 00:00:00+00:00,9543.5,9543.5,9543.5,9401.0,9417.0,121342800
2023-07-25 00:00:00+00:00,9519.2001953125,9519.2001953125,9542.7998046875,9497.7998046875,9534.0,86427600
2023-07-26 00:00:00+00:00,9600.5,9600.5,9604.099609375,9489.599609375,9515.900390625,164640400
2023-07-27 00:00:00+00:00,9694.7001953125,9694.7001953125,9715.099609375,9611.7998046875,9646.2998046875,203878100
2023-07-28 00:00:00+00:00,9685.099609375,9685.099609375,9741.900390625,9674.099609375,9682.2001953125,222144300
2023-07-31 00:00:00+00:00,9641.5,9641.5,9688.2998046875,9641.5,9675.900390625,160130500
2023-08-01 00:00:00+00:00,9502.900390625,9502.900390625,9657.2001953125,9491.7001953125,9639.900390625,136369400
2023-08-02 00:00:00+00:00,9328.7001953125,9328.7001953125,9424.400390625,9311.0,9409.5,223086300
2023-08-03 00:00:00+00:00,9307.099609375,9307.099609375,9341.900390625,9244.2998046875,9291.0,139652300
2023-08-04 00:00:00+00:00,9368.400390625,9368.400390625,9377.599609375,9278.900390625,9333.900390625,111010600
2023-08-07 00:00:00+00:00,9358.599609375,9358.599609375,9369.400390625,9273.5,9346.099609375,80687700
2023-08-08 00:00:00+00:00,9301.7998046875,9301.7998046875,9361.2998046875,9213.599609375,9292.099609375,136457400
2023-08-09 00:00:00+00:00,9354.400390625,9354.400390625,9420.7998046875,9334.2998046875,9403.5,88364200
2023-08-10 00:00:00+00:00,9502.2001953125,9502.2001953125,9522.900390625,9396.7001953125,9404.7998046875,109204400
2023-08-11 00:00:00+00:00,9434.2998046875,9434.2998046875,9493.900390625,9415.400390625,9476.7001953125,80015200
2023-08-14 00:00:00+00:00,9429.599609375,9429.599609375,9471.7001953125,9399.599609375,9423.7001953125,71422800
2023-08-15 00:00:00+00:00,9347.5,9347.5,9435.099609375,9305.900390625,9427.5,63980500
2023-08-16 00:00:00+00:00,9350.5,9350.5,9404.0,9313.2001953125,9318.099609375,60764100
2023-08-17 00:00:00+00:00,9278.0,9278.0,9356.400390625,9270.2998046875,9312.7998046875,83008600
2023-08-18 00:00:00+00:00,9267.7001953125,9267.7001953125,9273.7998046875,9192.7001953125,9250.0,93675700
2023-08-21 00:00:00+00:00,9262.7998046875,9262.7998046875,9367.599609375,9239.400390625,9268.599609375,72507400
2023-08-22 00:00:00+00:00,9314.0,9314.0,9370.7001953125,9302.900390625,9310.7001953125,66059900
2023-08-23 00:00:00+00:00,9315.599609375,9315.599609375,9395.400390625,9292.099609375,9333.7998046875,74919900
2023-08-24 00:00:00+00:00,9324.7001953125,9324.7001953125,9415.5,9321.5,9385.900390625,67799700
2023-08-25 00:00:00+00:00,9338.900390625,9338.900390625,9414.2001953125,9304.400390625,9308.7001953125,75145000
2023-08-28 00:00:00+00:00,9490.099609375,9490.099609375,9524.900390625,9397.7001953125,9398.2001953125,73880200
2023-08-29 00:00:00+00:00,9581.2001953125,9581.2001953125,9592.7001953125,9491.099609375,9513.7998046875,106623300
2023-08-30 00:00:00+00:00,9551.099609375,9551.099609375,9614.7001953125,9531.900390625,9595.099609375,99874200
2023-08-31 00:00:00+00:00,9505.900390625,9505.900390625,9606.2001953125,9505.900390625,9556.900390625,212295400
2023-09-01 00:00:00+00:00,9449.599609375,9449.599609375,9552.900390625,9449.599609375,9512.7998046875,108269100
2023-09-04 00:00:00+00:00,9416.2998046875,9416.2998046875,9515.0,9396.2001953125,9486.7001953125,69158100
2023-09-05 00:00:00+00:00,9392.0,9392.0,9449.599609375,9353.2001953125,9396.2001953125,87067800
2023-09-06 00:00:00+00:00,9314.400390625,9314.400390625,9382.0,9289.2998046875,9382.0,139455100
2023-09-07 00:00:00+00:00,9310.0,9310.0,9379.900390625,9277.7998046875,9288.099609375,112157000
2023-09-08 00:00:00+00:00,9364.599609375,9364.599609375,9372.2998046875,9238.5,9357.2001953125,92062600
2023-09-11 00:00:00+00:00,9435.2001953125,9435.2001953125,9457.900390625,9367.2998046875,9403.5,85725100
2023-09-12 00:00:00+00:00,9455.400390625,9455.400390625,9501.7001953125,9448.0,9454.5,107657600
2023-09-13 00:00:00+00:00,9424.099609375,9424.099609375,9448.2998046875,9330.599609375,9435.099609375,105247500
2023-09-14 00:00:00+00:00,9549.0,9549.0,9563.099609375,9380.0,9422.2998046875,133995400
2023-09-15 00:00:00+00:00,9549.7001953125,9549.7001953125,9642.0,9524.7001953125,9605.2998046875,348282000
2023-09-18 00:00:00+00:00,9482.099609375,9482.099609375,9553.900390625,9455.2998046875,9530.7998046875,109941400
2023-09-19 00:00:00+00:00,9527.2001953125,9527.2001953125,9550.099609375,9458.5,9459.7001953125,88182400
2023-09-20 00:00:00+00:00,9645.7998046875,9645.7998046875,9672.2001953125,9539.099609375,9550.0,125806100
2023-09-21 00:00:00+00:00,9548.900390625,9548.900390625,9606.7998046875,9475.2001953125,9582.099609375,120718600
2023-09-22 00:00:00+00:00,9502.0,9502.0,9542.599609375,9477.0,9499.0,100119800
2023-09-25 00:00:00+00:00,9386.0,9386.0,9523.900390625,9337.7001953125,9468.5,107471700
2023-09-26 00:00:00+00:00,9366.900390625,9366.900390625,9405.400390625,9307.099609375,9327.5,121930200
2023-09-27 00:00:00+00:00,9331.900390625,9331.900390625,9420.900390625,9311.7998046875,9366.0,106336400
2023-09-28 00:00:00+00:00,9426.7998046875,9426.7998046875,9442.2998046875,9311.5,9344.099609375,171533200
2023-09-29 00:00:00+00:00,9428.0,9428.0,9508.2998046875,9423.0,9458.5,139259800
2023-10-02 00:00:00+00:00,9319.0,9319.0,9495.099609375,9299.400390625,9447.7001953125,157515300
2023-10-03 00:00:00+00:00,9165.5,9165.5,9369.599609375,9164.0,9284.599609375,142881400
2023-10-04 00:00:00+00:00,9102.900390625,9102.900390625,9186.400390625,9077.599609375,9137.900390625,139573600
2023-10-05 00:00:00+00:00,9157.7001953125,9157.7001953125,9193.2998046875,9096.0,9160.2001953125,114922100
2023-10-06 00:00:00+00:00,9235.7998046875,9235.7998046875,9235.7998046875,9110.400390625,9179.900390625,122390000
2023-10-09 00:00:00+00:00,9151.2998046875,9151.2998046875,9223.0,9111.7998046875,9182.900390625,135294000
2023-10-10 00:00:00+00:00,9352.099609375,9352.099609375,9371.900390625,9217.900390625,9217.900390625,129139100
2023-10-11 00:00:00+00:00,9360.400390625,9360.400390625,9381.7001953125,9297.5,9306.7998046875,108807000
2023-10-12 00:00:00+00:00,9336.0,9336.0,9434.5,9322.0,9403.7998046875,94383400
2023-10-13 00:00:00+00:00,9232.900390625,9232.900390625,9363.400390625,9223.7998046875,9317.2001953125,143092900
2023-10-16 00:00:00+00:00,9287.099609375,9287.099609375,9306.0,9174.2001953125,9244.7998046875,105248200
2023-10-17 00:00:00+00:00,9298.5,9298.5,9323.400390625,9219.5,9268.400390625,79826100
2023-10-18 00:00:00+00:00,9212.7001953125,9212.7001953125,9305.7001953125,9202.5,9278.2001953125,108127200
2023-10-19 00:00:00+00:00,9146.7998046875,9146.7998046875,9189.7001953125,9101.099609375,9176.7998046875,143366500
